affiliation,coauthorname,lat,lng,name
"Research Professor of Language Technologies Institute, School of Computer Science, Carnegie Mellon",Teruko Mitamura,40.4427314,-79.9429552,Nizar Habash
"Professor of Computer Science, New York University Abu Dhabi",Nizar Habash,24.5238948,54.4345558,Nasser Zalmout
"Professor, Computer Science, Birzeit University, Palestine",Mustafa Jarrar,31.952162,35.233154,Nasser Zalmout
"PhD, Ohio State University, 2020; Affiliate of NYU Abu Dhabi",Alexander Erdmann,24.5238948,54.4345558,Nasser Zalmout
"Research Assistant, New York University Abu Dhabi",Salam Khalifa,24.5238948,54.4345558,Nasser Zalmout
"Professor, Middlesex University London, Visiting Imperial College London, Nile University Cairo",Moustafa Ghanem,30.0106147,30.9867822,Nasser Zalmout
"Research Assistant, New York University Abu Dhabi",Dima Taji,24.5238948,54.4345558,Nasser Zalmout
Columbia University,Ramy Eskander,40.8075355,-73.9625727,Nasser Zalmout
"B.S. Computer Science, New York University Abu Dhabi",Daniel Watson,24.5238948,54.4345558,Nasser Zalmout
University of Edinburgh,Hieu Hoang,55.9445158,-3.1892413,Nasser Zalmout
"Professor of Computer Science, New York University Abu Dhabi",Nizar Habash,24.5238948,54.4345558,Salam Khalifa
New York University Abu Dhabi,Fadhl Eryani,24.5238948,54.4345558,Salam Khalifa
"Assistant Professor of Information Systems, Carnegie Mellon University in Qatar","Houda Bouamor, PhD",25.3163249,51.4401422,Salam Khalifa
"Research Assistant, New York University Abu Dhabi",Ossama Obeid,24.5238948,54.4345558,Salam Khalifa
"PhD, Ohio State University, 2020; Affiliate of NYU Abu Dhabi",Alexander Erdmann,24.5238948,54.4345558,Salam Khalifa
"Assistant Professor, Hamad Bin Khalifa University",Wajdi Zaghouani,25.3143081,51.4322784,Salam Khalifa
New York University/New York University Abu Dhabi,Nasser Zalmout,24.5238948,54.4345558,Salam Khalifa
University of Alberta,Mohammad Salameh,53.5232189,-113.5263186,Salam Khalifa
Stony Brook University (1/1/21),Owen Rambow,40.9123761,-73.1233889,Salam Khalifa
Carnegie Mellon University in Qatar,Kemal Oflazer,25.3163249,51.4401422,Salam Khalifa
"Research Assistant, New York University Abu Dhabi",Dima Taji,24.5238948,54.4345558,Salam Khalifa
"Lecturer, Computer Science, New York University Abu Dhabi",Mai Oudah,24.5238948,54.4345558,Salam Khalifa
Columbia University,Ramy Eskander,40.8075355,-73.9625727,Salam Khalifa
Columbia University,Sakhar Alkhereyf,40.8075355,-73.9625727,Salam Khalifa
"Assisstant Professor of linguistics, UAEU",Meera Saeed Al Kaabi,24.200588,55.67603399999999,Salam Khalifa
"Assistant Professor of Computer Science, University of Sharjah",Naveed Ahmed,25.2833106,55.4744299,Salam Khalifa
New York University,Bashar Alhafni,40.72951339999999,-73.9964609,Salam Khalifa
"Qatar Computing Research Institute, HBKU",Ahmed Ali,25.3143081,51.4322784,Salam Khalifa
"Professor of Computer Science, New York University Abu Dhabi",Nizar Habash,24.5238948,54.4345558,Bashar Alhafni
New York University/New York University Abu Dhabi,Nasser Zalmout,24.5238948,54.4345558,Bashar Alhafni
"PhD, Ohio State University, 2020; Affiliate of NYU Abu Dhabi",Alexander Erdmann,24.5238948,54.4345558,Bashar Alhafni
"Assistant Professor, UCLA",Nanyun Peng,34.068921,-118.4451811,Bashar Alhafni
University of Southern California,Rujun Han,34.0223519,-118.285117,Bashar Alhafni
University of Warsaw,Tomasz Michalak,52.2403463,21.0186012,Talal Rahwan
"Vice-Provost (Research and Enterprise), Imperial College",Nick Jennings,51.49882220000001,-0.1748735,Talal Rahwan
University of Oxford,Michael Wooldridge,51.7548164,-1.2543668,Talal Rahwan
University of Warsaw,Oskar Skibski,52.2403463,21.0186012,Talal Rahwan
New York University Abu Dhabi,Marcin Waniek,24.5238948,54.4345558,Talal Rahwan
"Professor of Artificial Intelligence, University of Southampton",Sarvapali D. (Gopal) Ramchurn,50.9350748,-1.3957558,Talal Rahwan
"Assistant Professor, New York University, Abu Dhabi",Bedoor AlShebli,24.453884,54.3773438,Talal Rahwan
King's College London,Peter McBurney,51.5114864,-0.115997,Talal Rahwan
University of Oxford,Edith Elkind,51.7548164,-1.2543668,Talal Rahwan
"Center for Humans & Machines, Max Planck Institute for Human Development",Iyad Rahwan,52.468554,13.303832,Talal Rahwan
"Senior Machine Learning Scientist, Expedia Group",Wei Lee Woon,41.8823062,-87.6403882,Talal Rahwan
"Associate Professor in Computer Science, University of Warwick",Long Tran-Thanh,52.3792525,-1.5614704,Talal Rahwan
"Professor of Computer Science, University of Oxford",Alex Rogers,51.7548164,-1.2543668,Talal Rahwan
The Hong Kong Polytechnic University,Kai Zhou,22.3039347,114.1797311,Talal Rahwan
Purdue University,Simina Brânzei,40.4237054,-86.92119459999999,Talal Rahwan
Washington University in Saint Louis,Yevgeniy Vorobeychik,38.6487895,-90.31079620000001,Talal Rahwan
University of Waterloo,Kate Larson,43.4722854,-80.5448576,Talal Rahwan
AGH University of Science and Technology,Piotr Faliszewski,50.06688579999999,19.9136192,Talal Rahwan
"Associate Professor of Computer Science, Brigham Young University",Jacob W. Crandall,40.2518435,-111.6493156,Talal Rahwan
Kyushu University,Makoto Yokoo,33.6266584,130.4250445,Talal Rahwan
University of Warsaw,Tomasz Michalak,52.2403463,21.0186012,Marcin Waniek
New York University Abu Dhabi,Talal Rahwan,24.5238948,54.4345558,Marcin Waniek
University of Oxford,Michael Wooldridge,51.7548164,-1.2543668,Marcin Waniek
"Associate Professor in Computer Science, University of Warwick",Long Tran-Thanh,52.3792525,-1.5614704,Marcin Waniek
West Pomeranian University of Technology,Jarosław Jankowski,53.42453649999999,14.5355133,Marcin Waniek
"Vice-Provost (Research and Enterprise), Imperial College",Nick Jennings,51.49882220000001,-0.1748735,Marcin Waniek
,Aamena Alshamsi,51.49882220000001,-0.1748735,Marcin Waniek
Hamburg University of Technology,Andreas Timm-Giel,53.4635322,9.969647499999999,Yasir Zaki
"Former Dean/Senior Lecturer Gr.1, Faculty of Engineering, Kotelawala Defence University, Sri Lanka",Dr. Thushara Weerawardane,7.873053999999999,80.77179699999999,Yasir Zaki
"University of Engineering and Technology, Peshawar",Safdar Nawaz Khan Marwat,34.0151366,71.5249154,Yasir Zaki
"Postdoctoral Researcher, New York University Abu Dhabi",Thomas Pötsch,24.5238948,54.4345558,Yasir Zaki
"Senior Researcher,  NEC laboratories Europe",Xi Li,49.4061168,8.6849466,Yasir Zaki
ICSI,Jay Chen,38.9783217,-76.5190719,Yasir Zaki
"Professor of Computer Science, Courant Institute, New York University",Lakshminarayanan Subramanian,40.72951339999999,-73.9964609,Yasir Zaki
New York University,Talal Ahmad,40.72951339999999,-73.9964609,Yasir Zaki
"Sustainable Communication Networks (ComNets), University of Bremen, Germany",Yasir Mehmood,51.165691,10.451526,Yasir Zaki
University of Bremen,Asanga Udugama,53.1067848,8.8520527,Yasir Zaki
DAI Labor,Manzoor Ahmed Khan,29.96296139999999,-95.4799725,Yasir Zaki
"Industry Liaison Officer, TSSG, Waterford Institute of Technology,  Ireland IE",Martin Johnsson,53.41291,-8.24389,Yasir Zaki
"Professor Telecommunications, IST/INESC-ID, Univ. Lisbon",Luis M Correia,38.7526578,-9.158244999999999,Yasir Zaki
"Professor, University of Bremen",Anna Förster,53.1067848,8.8520527,Yasir Zaki
University of Cantabria,Luis Diez,43.4717039,-3.8019738,Yasir Zaki
GAIUS Networks,Arjuna Sathiaseelan,43.4717039,-3.8019738,Yasir Zaki
"Senior Researcher, Hamburg University of Technology",Koojana Kuladinithi,53.4635322,9.969647499999999,Yasir Zaki
Principal Consultant at TMPP Pty. Ltd.,Roksana Boreli,47.5818033,-122.154088,Yasir Zaki
Detecon International,Kostas Pentikousis,37.7886779,-122.4013971,Yasir Zaki
"Doctoral student, New York University",Shiva R Iyer,40.72951339999999,-73.9964609,Yasir Zaki
"Professor of Computer Science, ETH Zurich",Srdjan Capkun (Srđan Čapkun),47.37638889999999,8.547628,Christina Pöpper
"Faculty, CISPA Helmholtz Center for Information Security",Nils Ole Tippenhauer,49.2597138,7.0518892,Christina Pöpper
Radboud University,Katharina Kohls,51.8220189,5.863818699999999,Christina Pöpper
Ruhr-University Bochum,David Rupprecht,51.44566589999999,7.261609300000001,Christina Pöpper
Ruhr-Universität Bochum,Thorsten Holz,51.44566589999999,7.261609300000001,Christina Pöpper
University of Oxford,Kasper Rasmussen,51.7548164,-1.2543668,Christina Pöpper
Ruhr-University Bochum,Kai Jansen,51.44566589999999,7.261609300000001,Christina Pöpper
"Professor for IT Security, Ruhr University Bochum",Markus Dürmuth,51.44566589999999,7.261609300000001,Christina Pöpper
"Professor of Computer Science, University of Kaiserslautern",Jens B. Schmitt,49.4253891,7.7553196,Christina Pöpper
Cyber-Defence Campus,Vincent Lenders,39.2010363,-76.68365399999999,Christina Pöpper
University of Kaiserslautern,Matthias Schäfer,49.4253891,7.7553196,Christina Pöpper
"Doctor in Computer Science, ETH Zurich",Boris Danev,47.37638889999999,8.547628,Christina Pöpper
"University of California, Irvine",Adrian Dabrowski,33.6845673,-117.8265049,Christina Pöpper
"Chair for Systems Security, Ruhr-University Bochum",Andre Pawlowski,51.44566589999999,7.261609300000001,Christina Pöpper
"Professor of Computer Science, ETH Zurich",David Basin,47.37638889999999,8.547628,Christina Pöpper
"Professor of Computer Science, CISPA Helmholtz Center for Information Security",Cas Cremers,49.2597138,7.0518892,Christina Pöpper
"PhD Student, Ruhr-Universität Bochum",Theodor Schnitzler,51.44566589999999,7.261609300000001,Christina Pöpper
New York University,Shujaat Mirza,40.72951339999999,-73.9964609,Christina Pöpper
Ruhr-Universität Bochum,Dorothea Kolossa,51.44566589999999,7.261609300000001,Christina Pöpper
Ruhr University Bochum,Merlin Chlosta,51.44566589999999,7.261609300000001,Christina Pöpper
